Iteration, Difficulty, Learner, Measure, Value 
1, Easy, Value Iteration, Results, 477
2, Easy, Value Iteration, Results, 758
3, Easy, Value Iteration, Results, 235
4, Easy, Value Iteration, Results, 10
5, Easy, Value Iteration, Results, 12
6, Easy, Value Iteration, Results, 15
7, Easy, Value Iteration, Results, 11
8, Easy, Value Iteration, Results, 9
9, Easy, Value Iteration, Results, 10
10, Easy, Value Iteration, Results, 9
11, Easy, Value Iteration, Results, 9
12, Easy, Value Iteration, Results, 18
13, Easy, Value Iteration, Results, 16
14, Easy, Value Iteration, Results, 11
15, Easy, Value Iteration, Results, 10
16, Easy, Value Iteration, Results, 9
17, Easy, Value Iteration, Results, 12
18, Easy, Value Iteration, Results, 11
19, Easy, Value Iteration, Results, 12
20, Easy, Value Iteration, Results, 12
21, Easy, Value Iteration, Results, 9
22, Easy, Value Iteration, Results, 10
23, Easy, Value Iteration, Results, 11
24, Easy, Value Iteration, Results, 10
25, Easy, Value Iteration, Results, 11
26, Easy, Value Iteration, Results, 13
27, Easy, Value Iteration, Results, 9
28, Easy, Value Iteration, Results, 17
29, Easy, Value Iteration, Results, 12
30, Easy, Value Iteration, Results, 14
31, Easy, Value Iteration, Results, 10
32, Easy, Value Iteration, Results, 11
33, Easy, Value Iteration, Results, 9
34, Easy, Value Iteration, Results, 9
35, Easy, Value Iteration, Results, 18
36, Easy, Value Iteration, Results, 12
37, Easy, Value Iteration, Results, 9
38, Easy, Value Iteration, Results, 9
39, Easy, Value Iteration, Results, 12
40, Easy, Value Iteration, Results, 16
41, Easy, Value Iteration, Results, 9
42, Easy, Value Iteration, Results, 15
43, Easy, Value Iteration, Results, 15
44, Easy, Value Iteration, Results, 13
45, Easy, Value Iteration, Results, 11
46, Easy, Value Iteration, Results, 11
47, Easy, Value Iteration, Results, 12
48, Easy, Value Iteration, Results, 11
49, Easy, Value Iteration, Results, 11
50, Easy, Value Iteration, Results, 9
51, Easy, Value Iteration, Results, 16
52, Easy, Value Iteration, Results, 17
53, Easy, Value Iteration, Results, 20
54, Easy, Value Iteration, Results, 12
55, Easy, Value Iteration, Results, 15
56, Easy, Value Iteration, Results, 9
57, Easy, Value Iteration, Results, 10
58, Easy, Value Iteration, Results, 13
59, Easy, Value Iteration, Results, 12
60, Easy, Value Iteration, Results, 11
61, Easy, Value Iteration, Results, 12
62, Easy, Value Iteration, Results, 13
63, Easy, Value Iteration, Results, 9
64, Easy, Value Iteration, Results, 15
65, Easy, Value Iteration, Results, 13
66, Easy, Value Iteration, Results, 12
67, Easy, Value Iteration, Results, 11
68, Easy, Value Iteration, Results, 13
