"Iteration","Difficulty","Learner","Measure","Value"
1," Hard"," Value Iteration"," Results",2672
2," Hard"," Value Iteration"," Results",970
3," Hard"," Value Iteration"," Results",783
4," Hard"," Value Iteration"," Results",120
5," Hard"," Value Iteration"," Results",35
6," Hard"," Value Iteration"," Results",32
7," Hard"," Value Iteration"," Results",28
8," Hard"," Value Iteration"," Results",31
9," Hard"," Value Iteration"," Results",21
10," Hard"," Value Iteration"," Results",32
11," Hard"," Value Iteration"," Results",29
12," Hard"," Value Iteration"," Results",31
13," Hard"," Value Iteration"," Results",30
14," Hard"," Value Iteration"," Results",30
15," Hard"," Value Iteration"," Results",24
16," Hard"," Value Iteration"," Results",37
17," Hard"," Value Iteration"," Results",28
18," Hard"," Value Iteration"," Results",25
19," Hard"," Value Iteration"," Results",24
20," Hard"," Value Iteration"," Results",28
21," Hard"," Value Iteration"," Results",25
22," Hard"," Value Iteration"," Results",32
23," Hard"," Value Iteration"," Results",27
24," Hard"," Value Iteration"," Results",24
25," Hard"," Value Iteration"," Results",29
26," Hard"," Value Iteration"," Results",23
27," Hard"," Value Iteration"," Results",29
28," Hard"," Value Iteration"," Results",31
29," Hard"," Value Iteration"," Results",24
30," Hard"," Value Iteration"," Results",21
31," Hard"," Value Iteration"," Results",26
32," Hard"," Value Iteration"," Results",21
33," Hard"," Value Iteration"," Results",30
34," Hard"," Value Iteration"," Results",31
35," Hard"," Value Iteration"," Results",38
36," Hard"," Value Iteration"," Results",25
37," Hard"," Value Iteration"," Results",24
38," Hard"," Value Iteration"," Results",27
39," Hard"," Value Iteration"," Results",25
40," Hard"," Value Iteration"," Results",37
41," Hard"," Value Iteration"," Results",26
42," Hard"," Value Iteration"," Results",23
43," Hard"," Value Iteration"," Results",23
44," Hard"," Value Iteration"," Results",24
45," Hard"," Value Iteration"," Results",24
46," Hard"," Value Iteration"," Results",27
47," Hard"," Value Iteration"," Results",25
48," Hard"," Value Iteration"," Results",35
49," Hard"," Value Iteration"," Results",21
50," Hard"," Value Iteration"," Results",25
51," Hard"," Value Iteration"," Results",26
52," Hard"," Value Iteration"," Results",29
53," Hard"," Value Iteration"," Results",25
54," Hard"," Value Iteration"," Results",30
