Learning Rate, Gamma, Reward 
0.1, 0.1, -133.0
0.1, 0.1, -166.0
0.1, 0.1, -497.0
0.1, 0.1, -276.0
0.1, 0.1, -1001.0
0.1, 0.1, -1207.0
0.1, 0.1, -299.0
0.1, 0.1, -815.0
0.1, 0.1, -1943.0
0.1, 0.1, -627.0
0.1, 0.1, -1223.0
0.1, 0.1, -665.0
0.1, 0.1, -177.0
0.1, 0.1, -774.0
0.1, 0.1, -71.0
0.1, 0.1, -440.0
0.1, 0.1, -353.0
0.1, 0.1, -118.0
0.1, 0.1, -372.0
0.1, 0.1, -592.0
0.1, 0.1, -797.0
0.1, 0.1, -212.0
0.1, 0.1, -360.0
0.1, 0.1, -1057.0
0.1, 0.1, -137.0
0.1, 0.1, -1069.0
0.1, 0.1, -342.0
0.1, 0.1, -857.0
0.1, 0.1, -1073.0
0.1, 0.1, -343.0
0.1, 0.1, -590.0
0.1, 0.1, -1295.0
0.1, 0.1, 25.0
0.1, 0.1, -255.0
0.1, 0.1, -600.0
0.1, 0.1, -443.0
0.1, 0.1, -238.0
0.1, 0.1, -1707.0
0.1, 0.1, -900.0
0.1, 0.1, -35.0
0.1, 0.1, -593.0
0.1, 0.1, -807.0
0.1, 0.1, -318.0
0.1, 0.1, -1039.0
0.1, 0.1, -349.0
0.1, 0.1, -379.0
0.1, 0.1, -245.0
0.1, 0.1, -577.0
0.1, 0.1, -361.0
0.1, 0.1, -776.0
0.1, 0.1, -1031.0
0.1, 0.1, -118.0
0.1, 0.1, -221.0
0.1, 0.1, -1710.0
0.1, 0.1, -223.0
0.1, 0.1, -519.0
0.1, 0.1, -215.0
0.1, 0.1, -1016.0
0.1, 0.1, -76.0
0.1, 0.1, -232.0
0.1, 0.1, -1223.0
0.1, 0.1, -248.0
0.1, 0.1, -73.0
0.1, 0.1, -702.0
0.1, 0.1, -287.0
0.1, 0.1, -273.0
0.1, 0.1, -626.0
0.1, 0.1, -248.0
0.1, 0.1, -81.0
0.1, 0.1, -1020.0
0.1, 0.1, -141.0
0.1, 0.1, -363.0
0.1, 0.1, -38.0
0.1, 0.1, -65.0
0.1, 0.1, -781.0
0.1, 0.1, -1215.0
0.1, 0.1, -818.0
0.1, 0.1, 18.0
0.1, 0.1, -190.0
0.1, 0.1, -184.0
0.1, 0.1, -708.0
0.1, 0.1, -62.0
0.1, 0.1, 27.0
0.1, 0.1, -365.0
0.1, 0.1, -470.0
0.1, 0.1, -148.0
0.1, 0.1, -138.0
0.1, 0.1, -753.0
0.1, 0.1, -583.0
0.1, 0.1, -74.0
0.1, 0.1, -147.0
0.1, 0.1, -77.0
0.1, 0.1, -504.0
0.1, 0.1, -109.0
0.1, 0.1, -281.0
0.1, 0.1, -87.0
0.1, 0.1, -170.0
0.1, 0.1, -52.0
0.1, 0.1, -1184.0
0.1, 0.1, -142.0
0.1, 0.15000000000000002, -299.0
0.1, 0.15000000000000002, -241.0
0.1, 0.15000000000000002, -2925.0
0.1, 0.15000000000000002, -794.0
0.1, 0.15000000000000002, -52.0
0.1, 0.15000000000000002, -236.0
0.1, 0.15000000000000002, -371.0
0.1, 0.15000000000000002, -204.0
0.1, 0.15000000000000002, -1291.0
0.1, 0.15000000000000002, -195.0
0.1, 0.15000000000000002, -159.0
0.1, 0.15000000000000002, -58.0
0.1, 0.15000000000000002, -69.0
0.1, 0.15000000000000002, -948.0
0.1, 0.15000000000000002, -187.0
0.1, 0.15000000000000002, -700.0
0.1, 0.15000000000000002, -577.0
0.1, 0.15000000000000002, -328.0
0.1, 0.15000000000000002, -1231.0
0.1, 0.15000000000000002, -721.0
0.1, 0.15000000000000002, -330.0
0.1, 0.15000000000000002, -457.0
0.1, 0.15000000000000002, -942.0
0.1, 0.15000000000000002, -1391.0
0.1, 0.15000000000000002, -309.0
0.1, 0.15000000000000002, -421.0
0.1, 0.15000000000000002, -339.0
0.1, 0.15000000000000002, -466.0
0.1, 0.15000000000000002, -1331.0
0.1, 0.15000000000000002, -382.0
0.1, 0.15000000000000002, -147.0
0.1, 0.15000000000000002, -277.0
0.1, 0.15000000000000002, -647.0
0.1, 0.15000000000000002, -5.0
0.1, 0.15000000000000002, -136.0
0.1, 0.15000000000000002, -473.0
0.1, 0.15000000000000002, -160.0
0.1, 0.15000000000000002, -79.0
0.1, 0.15000000000000002, -308.0
