"Iteration","Difficulty","Learner","Measure","Value"
1," Hard"," Value Iteration"," Results",752
2," Hard"," Value Iteration"," Results",2453
3," Hard"," Value Iteration"," Results",1081
4," Hard"," Value Iteration"," Results",536
5," Hard"," Value Iteration"," Results",423
6," Hard"," Value Iteration"," Results",66
7," Hard"," Value Iteration"," Results",33
8," Hard"," Value Iteration"," Results",30
9," Hard"," Value Iteration"," Results",33
10," Hard"," Value Iteration"," Results",32
11," Hard"," Value Iteration"," Results",31
12," Hard"," Value Iteration"," Results",32
13," Hard"," Value Iteration"," Results",31
14," Hard"," Value Iteration"," Results",30
15," Hard"," Value Iteration"," Results",28
16," Hard"," Value Iteration"," Results",32
17," Hard"," Value Iteration"," Results",29
18," Hard"," Value Iteration"," Results",26
19," Hard"," Value Iteration"," Results",37
20," Hard"," Value Iteration"," Results",38
21," Hard"," Value Iteration"," Results",35
22," Hard"," Value Iteration"," Results",28
23," Hard"," Value Iteration"," Results",30
24," Hard"," Value Iteration"," Results",32
25," Hard"," Value Iteration"," Results",36
26," Hard"," Value Iteration"," Results",34
27," Hard"," Value Iteration"," Results",31
28," Hard"," Value Iteration"," Results",38
29," Hard"," Value Iteration"," Results",31
30," Hard"," Value Iteration"," Results",29
31," Hard"," Value Iteration"," Results",43
32," Hard"," Value Iteration"," Results",33
33," Hard"," Value Iteration"," Results",29
34," Hard"," Value Iteration"," Results",32
35," Hard"," Value Iteration"," Results",29
36," Hard"," Value Iteration"," Results",32
37," Hard"," Value Iteration"," Results",37
38," Hard"," Value Iteration"," Results",25
39," Hard"," Value Iteration"," Results",32
40," Hard"," Value Iteration"," Results",38
41," Hard"," Value Iteration"," Results",36
42," Hard"," Value Iteration"," Results",31
43," Hard"," Value Iteration"," Results",32
44," Hard"," Value Iteration"," Results",37
45," Hard"," Value Iteration"," Results",28
46," Hard"," Value Iteration"," Results",32
47," Hard"," Value Iteration"," Results",34
48," Hard"," Value Iteration"," Results",38
49," Hard"," Value Iteration"," Results",28
50," Hard"," Value Iteration"," Results",32
51," Hard"," Value Iteration"," Results",37
52," Hard"," Value Iteration"," Results",34
53," Hard"," Value Iteration"," Results",32
54," Hard"," Value Iteration"," Results",40
55," Hard"," Value Iteration"," Results",33
56," Hard"," Value Iteration"," Results",41
57," Hard"," Value Iteration"," Results",34
58," Hard"," Value Iteration"," Results",32
59," Hard"," Value Iteration"," Results",39
60," Hard"," Value Iteration"," Results",30
61," Hard"," Value Iteration"," Results",32
62," Hard"," Value Iteration"," Results",30
63," Hard"," Value Iteration"," Results",34
64," Hard"," Value Iteration"," Results",37
65," Hard"," Value Iteration"," Results",34
66," Hard"," Value Iteration"," Results",36
67," Hard"," Value Iteration"," Results",32
68," Hard"," Value Iteration"," Results",40
69," Hard"," Value Iteration"," Results",32
70," Hard"," Value Iteration"," Results",39
71," Hard"," Value Iteration"," Results",37
72," Hard"," Value Iteration"," Results",32
73," Hard"," Value Iteration"," Results",33
74," Hard"," Value Iteration"," Results",35
75," Hard"," Value Iteration"," Results",37
76," Hard"," Value Iteration"," Results",37
77," Hard"," Value Iteration"," Results",33
78," Hard"," Value Iteration"," Results",37
79," Hard"," Value Iteration"," Results",37
80," Hard"," Value Iteration"," Results",31
81," Hard"," Value Iteration"," Results",32
82," Hard"," Value Iteration"," Results",36
83," Hard"," Value Iteration"," Results",35
84," Hard"," Value Iteration"," Results",47
85," Hard"," Value Iteration"," Results",31
86," Hard"," Value Iteration"," Results",32
87," Hard"," Value Iteration"," Results",27
88," Hard"," Value Iteration"," Results",40
89," Hard"," Value Iteration"," Results",26
90," Hard"," Value Iteration"," Results",31
91," Hard"," Value Iteration"," Results",38
92," Hard"," Value Iteration"," Results",35
93," Hard"," Value Iteration"," Results",33
94," Hard"," Value Iteration"," Results",31
95," Hard"," Value Iteration"," Results",32
96," Hard"," Value Iteration"," Results",32
97," Hard"," Value Iteration"," Results",31
98," Hard"," Value Iteration"," Results",39
99," Hard"," Value Iteration"," Results",33
100," Hard"," Value Iteration"," Results",36
101," Hard"," Value Iteration"," Results",27
102," Hard"," Value Iteration"," Results",37
103," Hard"," Value Iteration"," Results",32
104," Hard"," Value Iteration"," Results",28
105," Hard"," Value Iteration"," Results",31
106," Hard"," Value Iteration"," Results",25
107," Hard"," Value Iteration"," Results",28
108," Hard"," Value Iteration"," Results",32
109," Hard"," Value Iteration"," Results",29
110," Hard"," Value Iteration"," Results",31
111," Hard"," Value Iteration"," Results",30
112," Hard"," Value Iteration"," Results",35
113," Hard"," Value Iteration"," Results",32
114," Hard"," Value Iteration"," Results",28
115," Hard"," Value Iteration"," Results",30
116," Hard"," Value Iteration"," Results",29
117," Hard"," Value Iteration"," Results",30
118," Hard"," Value Iteration"," Results",29
119," Hard"," Value Iteration"," Results",30
120," Hard"," Value Iteration"," Results",38
121," Hard"," Value Iteration"," Results",29
122," Hard"," Value Iteration"," Results",29
123," Hard"," Value Iteration"," Results",33
124," Hard"," Value Iteration"," Results",31
125," Hard"," Value Iteration"," Results",29
